around_restaurant_No,around_restaurant_average_price,bus_station_No,busline_No,competitor_No,estate_average_price,group,real_estate_No,shopping_mall_No,transportation_subway_No,uid,university_No
93,55.179,5,29,5,46989.236,0,460,3,0,d4276660c86971c505026fed,19
100,52.142,4,38,5,46372.818,0,390,3,0,9f97b1c5b4c6be1fb74f5489,17
61,67.69,4,36,7,47659.267,0,436,3,1,07f3c8b578c87c7a6340a991,19
49,40.048,5,42,5,52436.232,1,499,2,1,5c2dc21d8370e21d6fc02c67,34
77,54.375,5,29,6,47897.579,0,522,3,0,94912c4409bcb694a104646f,19
63,67.775,4,36,7,47659.267,0,433,3,1,7dd52d4e2b6afb8ec9e33ced,19
57,42.21,5,40,5,50075.653,1,560,3,1,78bd50f7d1a9d84231870ac9,33
120,54.273,4,60,4,50931.267,1,668,2,1,d5464cf83f46034efca778f3,23
39,39.955,5,51,8,55725.154,1,592,0,1,d82d6697cbdebbbfd418b7ee,39
149,45.651,5,71,4,50772.02,1,671,2,1,bb1d38e47ed83a540c0a70c8,32
35,33.942,6,62,6,52947.366,1,672,2,1,0ce65c2df9dd8b402d473338,35
37,38.619,4,49,8,55725.154,1,594,0,1,8ab0dfc48ddee217d8eced78,39
38,72.483,5,45,4,59135.565,1,636,1,1,991f8c64f2d9b119eaf853ef,38
38,72.483,5,45,4,59135.565,1,637,1,1,550fd5f9699b9560931fc967,38
150,45.687,5,71,4,50772.02,1,672,2,1,7efdd1ceda8f8a8edbd89143,32
83,39.228,3,14,9,58542.754,1,421,0,1,c7fb04bd4dc50f0cfa0cad56,31
51,44.614,5,30,6,60764.576,1,420,0,1,3da907f37e57ff4ab320a8da,34
39,46.65,5,31,9,59231.197,1,427,0,1,578504163032856cb13c810c,31
28,50.146,6,26,7,59323.531,1,413,0,0,8b4082fb9e515a165d17c350,34
35,45.664,5,31,9,58587.104,1,433,0,1,a5ef680fc90aa2ceb8df8ff3,30
121,36.186,3,14,10,56919.456,1,406,0,1,5db03715f077658cf4b916de,30
14,42.167,4,31,1,61216.475,1,431,0,0,6113ef77230af30d8f7727f7,31
28,50.146,6,26,7,59323.531,1,413,0,0,466b8e46fdcd8cf0220262c1,34
122,35.944,2,13,10,57065.661,1,404,0,1,4ac443a695fafb702fb9084a,30
118,36.701,2,13,8,57073.377,1,413,0,1,881a28e7a4588d5ef942b213,33
122,36.128,2,13,8,57203.151,1,406,0,1,cd86e75fd06297f0f6c59c74,31
119,35.942,2,13,8,57340.926,1,406,0,1,ee8813c51b7e4701fd0eb022,31
102,38.297,1,9,8,56836.094,1,414,0,1,8f3bad962533fd5c5fbe8649,34
26,29.105,4,34,3,54681.4,1,350,0,0,7d5f3a0a6e2862522cb90867,33
27,62.469,4,34,3,54530.184,1,418,0,1,54c139f56881e7a877026911,32
48,35.879,2,11,7,56223.174,1,403,0,0,3d6a7f97c1b0a0a6d12dd6de,31
19,50.533,4,22,2,55285.305,1,385,0,0,3a0fbba85e38ed589ee32108,26
27,29.263,4,34,3,55808.49,1,349,0,0,93df0dc319cc5432882fb5db,34
11,84.833,6,45,1,54370.169,1,425,0,1,50a4b898e3661c63e5e96598,29
18,50.533,3,13,2,55285.305,1,386,0,0,c7eca12b2fe0222ee115f918,27
80,57.469,5,45,10,55957.0,1,474,0,1,7c5e480b109e67adacb22aae,20
57,67.262,4,43,7,55467.079,1,495,0,1,0ce65c2df94b8b402c4733a6,18
49,46.227,2,29,8,52678.791,1,434,0,0,ff050f013c4280986e20b9a5,15
76,48.289,4,34,11,55261.5,1,435,0,1,41572e00ed06feadb45f1edd,17
64,46.704,3,24,11,55206.303,1,425,0,1,e889a74446a897ac8605bf7e,17
34,41.907,4,22,7,57144.596,1,425,0,0,62bc4ac63c8958bd441a329f,27
75,64.514,4,43,8,55794.247,1,480,0,1,cdef4edf1153b94d28d7abf6,19
43,46.353,4,22,9,55643.983,1,398,0,0,56e88cba821d007ca4c7560e,18
71,54.169,4,29,10,56120.154,1,450,0,1,fc9bad7302e4b1c2f603b8f7,23
47,49.46,1,22,11,51277.318,1,434,0,0,d80441864717bdabafee7af7,11
45,42.329,4,22,8,56360.948,1,410,0,0,484ce9943d1afa8735b06c46,23
49,49.46,1,22,11,51277.318,1,433,0,0,d0c8c6927e5281628c1a8906,11
24,41.633,4,42,3,55961.532,1,512,0,1,b3b736c7d4a17d8cd5b74eb6,20
54,56.9,4,35,8,55724.872,1,518,0,1,83d1c231c2105dfbfbdc8558,25
68,36.19,3,41,10,51117.45,1,410,0,0,d219bb1dc7d2b292f40e7781,7
82,35.55,5,58,10,52759.444,1,446,0,1,3da907f37eeaff4ab320a859,8
78,42.842,5,58,10,52759.444,1,450,0,1,c1653405549efa60aa175af2,8
76,43.384,5,58,10,52632.932,1,448,0,1,e0521c34a1fbef351d1d1188,7
82,42.843,5,58,10,52970.451,1,444,0,1,51a8703678315d2e95f08ca4,7
69,35.825,4,51,10,51582.742,1,406,0,1,f39b5b47382dbb0e8d55ec5a,7
83,41.731,3,41,11,50795.717,1,424,0,0,64ff3be1e75053a290114c0a,8
70,36.536,5,58,10,52546.46,1,413,0,1,5bccaf78500562868733045d,7
26,52.542,5,28,2,51873.444,1,399,0,1,2527be1e25ea23aa4bfc8df7,3
25,39.403,4,27,2,52880.348,1,388,0,0,e5675d2a8445a0cc364aaecd,6
16,55.0,8,47,4,52205.941,1,367,0,0,39d43f82c7733a9fa8059d18,3
25,48.9,5,29,1,50141.114,1,290,0,0,c73a2a20dc4a32acad080fe4,4
25,36.265,3,15,3,50146.976,1,391,0,0,f4a51a6751e1cb6773210bc7,2
31,38.943,3,20,4,48926.098,1,420,0,0,b8b63fda0e3c642238221cc2,3
31,38.943,3,20,4,48926.098,1,419,0,0,cdef4edf2c44dc5728d7abfd,3
15,37.25,5,18,3,50934.431,1,485,0,1,89fd4ea3afce9947e4e965a1,15
27,39.93,7,44,7,50953.768,1,451,0,1,19dc3f11da130865ddee8ba1,15
27,44.296,6,56,2,50378.379,1,499,0,1,2cc3c8e8915d52cf4d2fdf4e,11
18,58.167,3,18,1,49763.886,1,344,0,0,64ff3be19ebc44a290114c5e,14
23,63.342,5,26,8,52374.957,1,436,0,1,750ec165d014ac324d3a59ea,15
66,39.009,3,33,7,52813.434,1,445,0,0,701f996f0f892fc45bf6be33,16
31,63.902,4,37,8,51878.69,1,427,0,0,cd799edaee8e32a4afee7ab1,15
59,34.999,3,33,7,54194.192,1,442,0,0,31f9101b6887e1a026e0a01c,16
25,59.188,3,20,4,54693.968,1,400,0,0,29a68ebcd671db6f2d473395,15
23,25.125,5,35,8,56549.634,1,398,0,0,e93761f65c94cc15223bf25a,16
65,39.028,3,33,7,53078.442,1,443,0,0,d6ee8724be88cae3a9f0cd80,16
50,42.053,3,10,3,56232.302,1,350,0,0,07f3c8b578c47c7a6340a98d,16
47,38.722,4,14,3,56187.0,1,342,0,0,764672e5ee6110b494ec8406,16
7,156.5,4,40,1,47592.405,0,350,0,0,dd9846e050b9c58aed74f8aa,10
21,57.971,3,16,3,45395.44,0,530,0,0,3dc9befd7cb9810fbfa2408c,11
20,61.206,3,16,3,45720.312,0,445,0,0,d1a288b3934851dbcafa5f82,10
18,56.7,2,9,3,45720.312,0,428,0,0,f3c2373c971bd44bd32dd6ac,10
7,234.0,0,0,1,50602.111,1,178,0,0,9bec95f5c5712deab13c81c9,9
45,121.258,7,33,6,40835.258,0,427,0,0,42ad80e2082661daafb22af8,13
49,89.752,4,30,7,40350.624,0,407,0,0,cfd2bfe947f264172afc48c7,13
54,108.433,6,50,3,39946.952,0,463,0,0,e6ec9e66345aff46a1046487,13
57,38.475,6,46,9,40936.01,0,351,0,1,1eeed5464ba3e0ebb5147f5d,8
56,55.587,5,43,10,40458.272,0,377,0,0,75d0881a6d2faa303a04b1d4,10
54,30.279,8,51,9,40927.712,0,367,0,1,bb49df92d99140a396ca0760,9
31,76.983,5,43,7,40333.235,0,431,0,0,0adce3e2d7ce377881a00ca5,12
63,31.432,7,50,10,40927.712,0,375,0,1,75e4b0f1165e8e37cafa5f59,9
38,34.525,5,40,7,39623.08,0,298,0,0,0eea3dd6aafb3abe8d1a8926,8
45,39.586,5,40,9,39209.287,0,363,0,0,2e2ac7db471465c9c0364463,9
64,33.373,7,50,11,40927.712,0,382,0,1,c703119b971c14d56fa3ccb5,9
55,55.587,6,44,10,40458.272,0,383,0,0,d2d7a846a3b7b09872455bda,10
12,36.667,2,14,2,62845.036,1,341,0,0,ce6a926adcd96342f4b91662,1
4,25.0,2,7,1,87285.545,2,289,0,1,48eb0058627260b42fe67b42,5
114,26.657,3,22,5,62677.797,1,647,1,0,48d6ddc114a3318bbfa240f2,43
27,31.673000000000002,5,42,3,56659.718,1,590,1,1,8ab0dfc4ef20400fd8eced66,37
105,26.463,2,15,5,62661.267,1,649,1,0,e0023487385ae7ecb7265529,43
85,29.803,3,31,5,58902.755,1,610,0,0,da9b814c5e847d3e45572606,47
107,26.88,2,15,5,60577.965,1,644,1,0,e0463af12ad49538f90cad4f,43
17,64.5,5,24,1,70694.022,3,493,0,0,808b33b7a9ff1d74a2a93476,39
72,27.034,4,35,6,58299.521,1,640,1,0,74aef5ff19679c06f60e7713,42
21,46.9,3,34,1,50717.35,1,460,0,0,7524cb4f2673812d05026f86,50
54,45.954,7,67,11,55162.275,1,558,0,1,f926ac44f97769e928b97c38,40
47,51.875,7,67,9,55953.89,1,565,0,1,848a8e1278b06f1f5bf6beca,42
49,49.045,7,67,9,55835.6,1,561,0,1,438a366766180e383310af2d,42
48,35.853,6,60,10,52681.853,1,533,0,1,360ba1d405c55fd843e19289,47
75,41.289,3,29,17,55233.063,1,454,0,1,3390946df75421d8e115f977,46
40,58.822,5,44,8,56753.518,1,542,0,0,93df0dc319445432882fb553,42
78,42.936,3,29,16,56275.932,1,409,0,0,e2c734e41b56274415a1905e,52
69,44.286,3,29,16,57136.659,1,413,0,0,d219bb1dc7c0b292f40e7797,51
27,54.708,3,17,10,57449.621,1,438,0,0,2c0bd6c57d56d3b343ab9a31,51
72,42.301,4,42,12,55718.293,1,530,0,1,923ffd004ae97aaed92f2801,42
86,49.26,5,38,14,54082.369,1,445,0,1,4475ba4e3241a367a104641e,57
79,52.295,5,38,13,54082.369,1,449,0,1,1188311baced6817911fc97d,57
68,50.543,5,53,11,54318.917,1,437,0,1,6a2668f706ba4a6d07fef5b4,58
38,53.226,2,28,15,56850.295,1,408,0,0,7f3755f9c48ffbdf1fe9990a,55
81,40.403,4,42,20,55460.243,1,463,0,1,ac0934dd77d98a2d01897222,50
18,58.292,4,23,9,59564.381,1,443,0,0,07f3c8b578157c7a6240a9c2,45
99,41.785,6,60,14,53879.591,1,450,0,1,0adce3e2d708377880a00c67,56
28,56.133,3,17,11,57325.39,1,432,0,0,af5337fc68f4ab5ff32d839c,52
58,49.804,4,34,11,57578.715,1,413,0,0,74e23969d7bbcd04fa42b28d,52
101,47.167,4,31,14,55648.094,1,423,0,1,45cab6218a98073ef8f0cb62,55
80,43.895,5,37,14,55189.925,1,430,0,1,c8b5cdefd818cf1a130daa31,59
100,40.852,4,40,7,59856.8,1,412,0,1,93df0dc3182e5532892fb5f5,31
73,42.43,3,39,7,59060.553,1,414,0,1,d3ec2a48e8fc7ab5a1d23097,31
95,42.331,4,40,7,59398.837,1,409,0,1,680fb70396980d858bb988c5,32
31,47.35,4,9,7,57656.986,1,414,0,0,f696f3c27d98bef21b11d514,30
14,86.417,2,10,3,59297.169,1,464,0,0,ca12bffabbf45b06e81e970a,46
99,41.214,3,39,7,60712.538,1,417,0,1,bf29b7023d380b8009b93a38,34
75,42.43,3,39,7,59099.283,1,417,0,1,904798f3a989a7412902e176,31
95,42.331,4,40,7,59398.837,1,409,0,1,e7c1797b0eb2541b4c6d46db,32
14,43.667,4,22,5,61533.246,1,404,0,0,4751efc06901319dcf06a4eb,43
70,42.337,5,43,8,59035.714,1,394,0,1,b292b3aaf8b2394fbe4842c8,30
12,52.667,6,73,4,55793.454,1,408,0,1,b679a33a76420ab1fda77834,31
29,39.858,5,54,3,55544.527,1,395,0,1,fbc2de9e6be73447f4eafc0e,29
